"Time","Display","Temperature","Temp_Reading","Temp_Alarm","Humidity","Hum_Reading","Hum_Alarm","Pressure","PSI_Reading","PSI_Alarm","Pitch","Roll","Yaw"
"Thu Mar  3 13:41:38 2016","1.00","20.20","0.00","1.00","41.79","-1.00","1.00","999.75","-1.00","1.00","2.99","47.62","203.67"
"Thu Mar  3 13:42:13 2016","1.00","20.33","0.00","1.00","41.57","-1.00","1.00","999.70","-1.00","1.00","1.51","47.94","204.59"
"Thu Mar  3 13:42:49 2016","1.00","20.10","0.00","1.00","41.52","-1.00","1.00","999.73","-1.00","1.00","3.38","47.15","206.75"
"Thu Mar  3 13:43:25 2016","1.00","20.23","0.00","1.00","41.44","-1.00","1.00","999.67","-1.00","1.00","1.63","47.24","207.66"
"Thu Mar  3 13:44:00 2016","1.00","20.17","0.00","1.00","41.21","-1.00","1.00","999.64","-1.00","1.00","2.17","48.09","208.84"
"Thu Mar  3 13:44:35 2016","1.00","20.19","0.00","1.00","40.72","-1.00","1.00","999.66","-1.00","1.00","1.90","47.86","210.72"
"Thu Mar  3 13:45:11 2016","1.00","20.01","0.00","1.00","42.17","-1.00","1.00","999.65","-1.00","1.00","2.29","47.53","212.40"
"Thu Mar  3 13:45:47 2016","1.00","20.12","0.00","1.00","39.80","-1.00","1.00","999.62","-1.00","1.00","2.93","47.59","214.70"
"Thu Mar  3 13:46:22 2016","1.00","20.22","0.00","1.00","40.54","-1.00","1.00","999.60","-1.00","1.00","2.47","47.43","215.94"
"Thu Mar  3 13:46:58 2016","1.00","20.01","0.00","1.00","41.44","-1.00","1.00","999.66","-1.00","1.00","2.55","47.83","217.71"
"Thu Mar  3 13:47:33 2016","1.00","20.18","0.00","1.00","40.36","-1.00","1.00","999.61","-1.00","1.00","1.68","47.95","219.52"
"Thu Mar  3 13:48:09 2016","1.00","20.10","0.00","1.00","40.55","-1.00","1.00","999.60","-1.00","1.00","1.81","47.67","221.87"
"Thu Mar  3 13:48:44 2016","1.00","19.98","0.00","1.00","40.88","-1.00","1.00","999.64","-1.00","1.00","2.10","47.21","224.49"
"Thu Mar  3 13:49:20 2016","1.00","20.10","0.00","1.00","39.94","-1.00","1.00","999.62","-1.00","1.00","1.87","47.47","226.87"
"Thu Mar  3 13:49:55 2016","1.00","20.00","0.00","1.00","41.15","-1.00","1.00","999.61","-1.00","1.00","2.23","48.10","227.99"
"Thu Mar  3 13:50:31 2016","1.00","20.03","0.00","1.00","40.33","-1.00","1.00","999.60","-1.00","1.00","1.15","47.81","230.67"
"Thu Mar  3 13:51:06 2016","1.00","19.86","0.00","1.00","40.26","-1.00","1.00","999.61","-1.00","1.00","359.83","47.96","233.24"
"Thu Mar  3 13:51:42 2016","1.00","19.85","0.00","1.00","40.06","-1.00","1.00","999.60","-1.00","1.00","2.21","47.89","235.34"
"Thu Mar  3 13:52:17 2016","1.00","19.94","0.00","1.00","40.13","-1.00","1.00","999.57","-1.00","1.00","2.66","47.68","239.16"
"Thu Mar  3 13:52:53 2016","1.00","19.86","0.00","1.00","39.84","-1.00","1.00","999.57","-1.00","1.00","3.86","47.04","242.89"
