"Time","Display","Temperature","Temp_Reading","Temp_Alarm","Humidity","Hum_Reading","Hum_Alarm","Pressure","PSI_Reading","PSI_Alarm","Pitch","Roll","Yaw"
"Mon Feb 29 10:10:09 2016","1.00","18.99","0.00","1.00","43.16","-1.00","1.00","1005.50","0.00","1.00","3.27","50.46","219.73"
"Mon Feb 29 10:10:43 2016","1.00","19.00","0.00","1.00","42.83","-1.00","1.00","1005.51","0.00","1.00","3.17","50.35","221.92"
"Mon Feb 29 10:11:18 2016","1.00","19.08","0.00","1.00","42.75","-1.00","1.00","1005.56","0.00","1.00","1.67","50.98","222.64"
"Mon Feb 29 10:11:52 2016","1.00","19.00","0.00","1.00","42.93","-1.00","1.00","1005.53","0.00","1.00","2.47","50.53","225.46"
"Mon Feb 29 10:12:26 2016","1.00","19.05","0.00","1.00","42.91","-1.00","1.00","1005.51","0.00","1.00","2.49","50.76","228.45"
"Mon Feb 29 10:13:00 2016","1.00","19.04","0.00","1.00","43.26","-1.00","1.00","1005.50","0.00","1.00","2.59","50.84","230.56"
"Mon Feb 29 10:13:34 2016","1.00","18.97","0.00","1.00","42.69","-1.00","1.00","1005.50","0.00","1.00","3.06","50.79","232.77"
"Mon Feb 29 10:14:08 2016","1.00","19.07","0.00","1.00","42.74","-1.00","1.00","1005.54","0.00","1.00","1.16","50.49","235.41"
"Mon Feb 29 10:14:42 2016","1.00","19.00","0.00","1.00","42.96","-1.00","1.00","1005.45","0.00","1.00","2.25","51.16","237.94"
"Mon Feb 29 10:15:16 2016","1.00","19.00","0.00","1.00","42.09","-1.00","1.00","1005.50","0.00","1.00","1.29","50.43","241.50"
"Mon Feb 29 10:15:50 2016","1.00","18.98","0.00","1.00","43.04","-1.00","1.00","1005.47","0.00","1.00","2.21","51.23","243.63"
"Mon Feb 29 10:16:25 2016","1.00","19.06","0.00","1.00","42.07","-1.00","1.00","1005.47","0.00","1.00","2.57","51.03","246.19"
"Mon Feb 29 10:16:59 2016","1.00","19.03","0.00","1.00","43.06","-1.00","1.00","1005.46","0.00","1.00","3.24","50.75","249.51"
"Mon Feb 29 10:17:33 2016","1.00","19.17","0.00","1.00","42.46","-1.00","1.00","1005.43","0.00","1.00","1.49","50.59","251.03"
"Mon Feb 29 10:18:07 2016","1.00","19.01","0.00","1.00","42.71","-1.00","1.00","1005.44","0.00","1.00","2.36","50.68","254.32"
"Mon Feb 29 10:18:41 2016","1.00","19.00","0.00","1.00","42.57","-1.00","1.00","1005.44","0.00","1.00","1.13","50.18","255.83"
"Mon Feb 29 10:19:15 2016","1.00","19.03","0.00","1.00","42.07","-1.00","1.00","1005.48","0.00","1.00","2.09","50.48","258.96"
"Mon Feb 29 10:19:49 2016","1.00","19.15","0.00","1.00","43.26","-1.00","1.00","1005.41","0.00","1.00","3.73","50.11","260.44"
"Mon Feb 29 10:20:24 2016","1.00","19.15","0.00","1.00","42.83","-1.00","1.00","1005.42","0.00","1.00","2.10","50.78","262.95"
"Mon Feb 29 10:20:58 2016","1.00","18.98","0.00","1.00","42.23","-1.00","1.00","1005.41","0.00","1.00","2.63","50.35","266.47"
"Mon Feb 29 10:21:32 2016","1.00","19.09","0.00","1.00","42.44","-1.00","1.00","1005.35","0.00","1.00","1.46","50.51","268.51"
"Mon Feb 29 10:22:06 2016","1.00","19.23","0.00","1.00","42.74","-1.00","1.00","1005.42","0.00","1.00","2.64","50.36","270.32"
